UserID,Query,MissionID
38534,maryland state police,1
38534,harford county sheriff,1
38534,aberdeen police department in maryland,1
38534,goody,2
38534,google,3
258919,jeep,1
258919,mopar electronic ignition,1
258919,mopar minneapolis,1
258919,napa auto parts,1
258919,chrysler perfomance minnesota,1
258919,b b king,2
258919,flamingo hotel las vegas,3
258919,las vegas,3
258919,deal or no deal,4
258919,bill kirchen,5
258919,c d universe,5
258919,global payments network,6
258919,chrysler c body,1
258919,columbia park medical clinic,7
258919,minnesota twins,8
258919,americawest,9
258919,sheradon performance,1
258919,sheradon performance hugo mn mopar,1
258919,performance hugo mn mopar,1
258919,1966 chrysler new yorker,1
258919,remax,10
258919,edina realty,10
258919,las vegas journal,3
258919,el cortez,3
258919,luther lincoln mercury,1
258919,bella blaine,10
258919,jimmy carter rabbit,11
258919,golden nugget las vegas,3
258919,lucille b b king,2
258919,old vegas,3
258919,dodge of blaine,1
258919,mopar performance,1
258919,motorola phones,12
258919,fremont street experience,3
258919,old las vegas,3
258919,2002 chrysler sebring con.,1
258919,joe senser's sports bar,13
258919,dustys bar mpls,13
258919,sag harbor clothes,14
258919,mall of america,14
258919,the weather channel,15
258919,pueblo colorado newspapers,16
258919,keystone wheels,1
258919,kelsey hayes wire wheels,1
258919,mapquest,17
258919,motor trend classic,1
258919,1966 chrysler,1
258919,mopars in minnesota,1
258919,raceway park mn.,18
258919,elko speedway elko mn.,18
373008,t,1
373008,y,2
373008,videos,3
373008,crushpot,4
373008,nusicnow,5
373008,musicnow,5
373008,c documentsandsettings allusers applicationdata applecumputer itunes scinfo,6
373008,c documentsandsettings allusers applicationdata appelcomputer itunes edinfo,6
373008,c documents and settings all users application data apple cumputer itunes sc info,6
373008,yahoo,7
599381,algebra - solving quadratic,1
599381,algebra - solving quadratic equations,1
599381,physical science,2
599381,barnes and knoble,3
599381,the lyrics to the waiting to exhale soundtrack,4
599381,peter pan musical,5
599381,peter pan musical movie,5
599381,san diego jr theatre,5
599381,traits that relate to animal symbolism,6
599381,a lion represents what traits,6
599381,what represents pride,6
599381,what represents great pride,6
599381,mcdonalds highschool american game,7
599381,mcdonalds high school american game,7
599381,mcdonalds all american highschool basketball games,7
599381,mcdonalds all american high school basketball games,7
599381,mcdonalds all american high school basketball game information,7
599381,aim,8
599381,probasketball,7
599381,tue believer the book,9
599381,true believer the book,9
599381,high school basketball magazine,7
599381,sean paul music videos dvd,10
599381,watson-guptil publications - how to draw hip hop,10
599381,leonardo da vinci,11
599381,telegram,12
599381,the history telegram,12
599381,the history of the telegram,12
599381,the history of the telegraph,12
599381,picture of a telegraph,12
599381,telegraph,12
599381,uc san diego website,13
599381,uc san diego performing arts camp website,13
599381,kusi website,13
599381,national and global youth service day,14
599381,music,15
599381,intensive basketball camps,7
599381,intensive basketball camps in california,7
599381,girls intensive basketball camps in california,7
599381,bmg music web site,15
599381,arizona university,13
599381,basketball camps for girls in san diego,7
599381,teen poems,16
599381,depressed teen poems,16
599381,cherish - music artists music video,17
599381,yahoo music,17
599381,civil rights movement,18
599381,14-15 year old jobs,19
599381,cnn,20
599381,history of holocaust,21
599381,aol playlist,15
707848,strawberry shortcake calories,1
707848,archaebacteria examples,2
707848,methanogen examples,2
707848,methanogen example,2
707848,fungi example,2
707848,fungus example,2
707848,blood facts,3
707848,i learn by going where i have to go,4
707848,i learn by going where i have to go lyrics,4
707848,i sleep to wake lyrics,4
707848,dont lose touch lyrics,4
707848,into the rush lyrics,4
707848,beat of my heart lyrics,4
707848,modest mouse,4
707848,modest mouse lyrics,4
707848,tv listings,5
707848,northstar family fun center,6
707848,6550 brandt pike huber heights,6
707848,bankrupt on selling lyrics,4
707848,shit luck lyrics,4
707848,sink florida sink,4
707848,sink florida sink lyrics,4
707848,i wake to sleep and take my waking slow lyrics,4
707848,i feel my fate in what i cannot fear,4
707848,i'm no good you're no better wouldn't we be perfect together,4
707848,i'm no good you're no better wouldn't we be perfect together lyrics,4
707848,car lyrics,4
707848,car lyrics built to spil,4
707848,car lyrics built to spill,4
707848,growing fast plants,7
707848,how to grow fast plants,7
707848,put music on your ipod,8
707848,how to put music on your ipod,8
707848,add songs to ipod,8
707848,box car racer lyrics,4
707848,daughters lyrics,4
707848,against me lyrics,4
707848,insomnia,9
707848,insomnia symptoms,9
707848,it only hurts lyrics,4
707848,it only hurts lyrics lyrics,4
707848,teeth like god's shoeshine lyrics,4
707848,grills lyrics,4
707848,grills lyrics nelly,4
707848,blink 182 lyrics,4
707848,edit the sad parts lyrics,4
707848,my lips are cold the truth is told lyrics,4
707848,the authority song,4
707848,the authority song lyrics,4
707848,black dresses by spill canvas,4
707848,playing for keeps lyrics,4
707848,rhyming dictionary,10
707848,monstr in a wheelchair,11
707848,the ones that you said you'd try to find lyrics,4
707848,brandon fissenger,12
707848,brandon fissienger,12
707848,20 below lyrics,4
707848,even in a heart dressed black lyrics,4
707848,heart dressed black lyrics,4
707848,even with a heart dressed black lyrics,4
707848,the cold part lyrics,4
707848,make everyone happy lyrics,4
707848,alkaline trio lyrics,4
707848,a movie that plays in my mind remembring you helps me survive everyday,4
707848,ohio manuverability exam,13
707848,manuverability cone placement,13
707848,maneuverability cone placement,13
707848,maneuverability cone placement ohio,13
707848,maneuverability cones ohio,13
707848,driving maneuverability for ohio,13
707848,driving maneuverability,13
707848,driving maneuverability ohio,13
707848,scary kids scaring kids lyrics,4
707848,better late than forever lyrics,4
707848,i want to kiss you on the mouth and tell you i'm your biggest fan lyrics,4
707848,my heart beats in break downs lyrics,4
707848,my heart beats in breakdowns lyrics,4
707848,you said my heart sounded like a pay phone in the rain lyrics,4
707848,heart transplant lyrics,4
707848,punchline lyrics,4
707848,science news,14
707848,french desert recipe,15
707848,french dessert recipe,15
707848,this heart is a stone lyrics,4
707848,acid house kings lyrics,4
707848,how am i doing lyrics,4
707848,how am i doin lyrics,4
707848,dierks bentley lyrics,4
707848,world at large lyrics,4
707848,dayton mall hours,16
707848,the woman with you lyrics,4
707848,and i need you more than you even needed me,17
707848,built to spill lyrics,4
707848,my baby lyrics,4
707848,my baby lyrics modest mouse,4
707848,ohio northern,18
707848,ohio northern basic requirements,18
707848,she said take this pen and write me soon,4
707848,she said take this pen and write me soon lyrics,4
707848,highway 101 lyrics,4
707848,im so bright i wear my sunglasses at night,4
707848,im so bright i wear my sunglasses at night lyrics,4
707848,sunglasses at night lyrics,4
707848,this temporary life lyrics,4
707848,it,4
707848,it's clear in my head i'm screaming for something lyrics,4
707848,nofx lyrics,4
707848,enjoy your day lyrics,4
707848,america is just a word but i use it.,4
707848,america is just a word but i use it lyrics,4
707848,rilo kiley lyrics,4
707848,science vs romance lyrics,4
707848,anemia,3
707848,this heart is a stone lyrics acid house kigs,4
707848,this heart is a stone lyrics acid house kings,4
707848,bohr shift,3
707848,mla formal outline,19
707848,sentence outline,19
707848,smile in your sleep lyrics,4
707848,six undergroud lyrics,4
707848,six underground lyrics,4
707848,mewithout lyrics,4
707848,park lyrics,4
707848,population dynamics,20
707848,population dynamics definition,20
707848,science dictionary,20
707848,steal my sunshine lyrics,4
707848,len lyrics,4
707848,distance will increase the danger lyrics,4
707848,well im writing it down but i'll scribble it out lyrics,4
707848,pictures in exhibition lyrics,4
707848,in your mind lyrics,4
707848,in your mind lyrics built to spill,4
707848,ohio softball ranks,21
707848,ohio high school softball ranks,21
707848,ohio high school softball,21
707848,never ending math equation,4
707848,little moments lyrics,4
707848,soul meets body lyrics,4
