query_one,query_two,same_intent
maryland state police,harford county sheriff,True
maryland state police,aberdeen police department in maryland,True
harford county sheriff,maryland state police,True
harford county sheriff,aberdeen police department in maryland,True
aberdeen police department in maryland,maryland state police,True
aberdeen police department in maryland,harford county sheriff,True
aberdeen police department in maryland,eston ct police department,False
aberdeen police department in maryland,easton ct police department,False
jeep,mopar electronic ignition,True
jeep,mopar minneapolis,True
jeep,napa auto parts,True
jeep,chrysler perfomance minnesota,True
jeep,chrysler c body,True
jeep,sheradon performance,True
jeep,sheradon performance hugo mn mopar,True
jeep,performance hugo mn mopar,True
jeep,1966 chrysler new yorker,True
jeep,luther lincoln mercury,True
jeep,dodge of blaine,True
jeep,mopar performance,True
jeep,2002 chrysler sebring con.,True
jeep,keystone wheels,True
jeep,kelsey hayes wire wheels,True
jeep,motor trend classic,True
jeep,1966 chrysler,True
jeep,mopars in minnesota,True
mopar electronic ignition,jeep,True
mopar electronic ignition,mopar minneapolis,True
mopar electronic ignition,napa auto parts,True
mopar electronic ignition,chrysler perfomance minnesota,True
mopar electronic ignition,chrysler c body,True
mopar electronic ignition,sheradon performance,True
mopar electronic ignition,sheradon performance hugo mn mopar,True
mopar electronic ignition,performance hugo mn mopar,True
mopar electronic ignition,1966 chrysler new yorker,True
mopar electronic ignition,luther lincoln mercury,True
mopar electronic ignition,dodge of blaine,True
mopar electronic ignition,mopar performance,True
mopar electronic ignition,2002 chrysler sebring con.,True
mopar electronic ignition,keystone wheels,True
mopar electronic ignition,kelsey hayes wire wheels,True
mopar electronic ignition,motor trend classic,True
mopar electronic ignition,1966 chrysler,True
mopar electronic ignition,mopars in minnesota,True
mopar minneapolis,jeep,True
mopar minneapolis,mopar electronic ignition,True
mopar minneapolis,napa auto parts,True
mopar minneapolis,chrysler perfomance minnesota,True
mopar minneapolis,chrysler c body,True
mopar minneapolis,sheradon performance,True
mopar minneapolis,sheradon performance hugo mn mopar,True
mopar minneapolis,performance hugo mn mopar,True
mopar minneapolis,1966 chrysler new yorker,True
mopar minneapolis,luther lincoln mercury,True
mopar minneapolis,dodge of blaine,True
mopar minneapolis,mopar performance,True
mopar minneapolis,2002 chrysler sebring con.,True
mopar minneapolis,keystone wheels,True
mopar minneapolis,kelsey hayes wire wheels,True
mopar minneapolis,motor trend classic,True
mopar minneapolis,1966 chrysler,True
mopar minneapolis,mopars in minnesota,True
napa auto parts,jeep,True
napa auto parts,mopar electronic ignition,True
napa auto parts,mopar minneapolis,True
napa auto parts,chrysler perfomance minnesota,True
napa auto parts,chrysler c body,True
napa auto parts,sheradon performance,True
napa auto parts,sheradon performance hugo mn mopar,True
napa auto parts,performance hugo mn mopar,True
napa auto parts,1966 chrysler new yorker,True
napa auto parts,luther lincoln mercury,True
napa auto parts,dodge of blaine,True
napa auto parts,mopar performance,True
napa auto parts,2002 chrysler sebring con.,True
napa auto parts,keystone wheels,True
napa auto parts,kelsey hayes wire wheels,True
napa auto parts,motor trend classic,True
napa auto parts,1966 chrysler,True
napa auto parts,mopars in minnesota,True
napa auto parts,isuzu auto parts,False
napa auto parts,2001 isuzu auto parts,False
chrysler perfomance minnesota,jeep,True
chrysler perfomance minnesota,mopar electronic ignition,True
chrysler perfomance minnesota,mopar minneapolis,True
chrysler perfomance minnesota,napa auto parts,True
chrysler perfomance minnesota,chrysler c body,True
chrysler perfomance minnesota,sheradon performance,True
chrysler perfomance minnesota,sheradon performance hugo mn mopar,True
chrysler perfomance minnesota,performance hugo mn mopar,True
chrysler perfomance minnesota,1966 chrysler new yorker,True
chrysler perfomance minnesota,luther lincoln mercury,True
chrysler perfomance minnesota,dodge of blaine,True
chrysler perfomance minnesota,mopar performance,True
chrysler perfomance minnesota,2002 chrysler sebring con.,True
chrysler perfomance minnesota,keystone wheels,True
chrysler perfomance minnesota,kelsey hayes wire wheels,True
chrysler perfomance minnesota,motor trend classic,True
chrysler perfomance minnesota,1966 chrysler,True
chrysler perfomance minnesota,mopars in minnesota,True
b b king,lucille b b king,True
flamingo hotel las vegas,las vegas,True
flamingo hotel las vegas,las vegas journal,True
flamingo hotel las vegas,el cortez,True
flamingo hotel las vegas,golden nugget las vegas,True
